sn	describe
1001	Log in to the game
1002	Open 4 treasure chests
1003	Clear the Realm of Repression 2 times
1004	Use 80 stamina
1005	Use 120 stamina
1006	Clear Realm of Repression: Alluring Aroma
1007	Clear Realm of Repression: Gear Forging
1008	Clear Realm of Repression: Enlightenment
1009	Clear Realm of Repression: Revelation Cards
1010	Clear Realm of Repression: Persona
1011	Clear Realm of Repression: Recollections
1012	Use 3 Action Points
1013	Work a part-time job
1015	Invite an accomplice out
1016	Fuse a Persona
1017	Perform Persona skill training
1018	Spend 1	000 yen
1019	Use 5	000 Konpaku Gems
1020	Clear Nightmare's Gateway
1021	Clear Trials from the Sea of Souls
1022	Clear the Velvet Trials
2001	Use 1	250 stamina
2002	Use 25 Action Points
2003	Clear the Realm of Repression 12 times
2005	Spend 20	000 yen
2006	Use 100	000 Konpaku Gems
2007	Clear Realm of Repression: Recollections
2009	Reach the objective in Phase 4 of Nightmare's Gateway
3001	Draw 50 Contracts or Arms Deals
3002	Clear Trials from the Sea of Souls: Western Work Site
3004	Obtain all Raffle prizes
3005	Clear It's Ours! in Crossroads of Fate
3006	Use 3	000 Rebel Coins at the Thieves' Exchange
3007	Spend time at Leblanc 12 times
3008	Use 500 coins in Send 'Em Flying
3009	Clear episodes 2-10 of Crossroads of Fate: Museum Arc
3010	Clear Sinners of Vanity and Gluttony: Dvesha on difficulty 20
3011	Clear Stage 6 of Robotic Challenge: Puzzle Bots
3012	Clear Stage 8 of Robotic Challenge: Brawl Bots
3013	Clear episodes 3-10 of Crossroads of Fate: Bank Arc
3014	Clear Sinners of Vanity and Gluttony: Irshya on difficulty 20
3015	Clear all stages in Crossroads of Fate: Relativity's Labyrinth
3016	Obtain all Raffle prizes
3017	Clear Lust's Shadow on difficulty 20
3018	Clear Vanity's Shadow on difficulty 20
3019	Collect plum blossom knots from Unconditional Love: Phase 1
3020	Collect plum blossom knots from Unconditional Love: Phase 1
3021	Clear the stage 16 challenge goal in Water Gun Fight
3022	Clear Genbu 1 in Strange Changes on the Beach: Fun in the Sun
3023	Complete a Stage 16 challenge goal in Shaved Ice Shuffle
3024	Clear Raja Naga 1 in Strange Changes on the Beach: Waves of Fun.
3025	Clear the nightmare challenge in Trial of Thorns: Wraith of Envy on abnormality 15
3026	Clear the nightmare challenge in Trial of Thorns: Asura on abnormality 15
3027	Collect plum blossom knots from Unconditional Love: Phase 2
3028	Collect plum blossom knots from Unconditional Love: Phase 2
3029	Customize a Revelation Card in Cycle of Fate
3030	Clear episodes 4-10 of Crossroads of Fate: Pyramid Arc
3031	Play Tycoon 3 times
3032	Clear Hell Biker 1 in Cherish's special mission
3033	Clear episodes 5-10 of Crossroads of Fate: Spaceport Arc
3034	Clear Paw It Forward in Tabby's Treasure Hunt
3035	Clear the nightmare challenge in Trial of Thorns: Trumpeter on abnormality 15
3036	Clear the nightmare challenge in Trial of Thorns: Asura on abnormality 15
3038	Collect plum blossom dango from Unconditional Love: Phase 3
3039	Collect plum blossom dango from Unconditional Love: Phase 3
